English Name,Nepali Name,Unit,Minimum Price (Rs.),Maximum Price (Rs.),Average Price (Rs.)
Apple(Fuji),स्याउ(फूजी),Kg,190,200,195.0
Arum,पिंडालू,Kg,40,50,45.0
Asparagus,कुरीलो,Kg,700,800,750.0
Bamboo Shoot,तामा,Kg,90,100,95.0
Banana,केरा,Doz,80,90,85.0
Bitter Gourd,तितो करेला,Kg,70,90,80.0
Bottle Gourd,लौका,Kg,40,50,45.0
Brd Leaf Mustard,रायो साग,Kg,180,200,190.0
Brinjal Long,भन्टा लाम्चो,Kg,40,50,45.0
Brinjal Round,भन्टा डल्लो,Kg,60,70,65.0
Brocauli,ब्रोकाउली,Kg,200,250,225.0
Cabbage(Local),बन्दा(लोकल),Kg,30,40,35.0
Capsicum,भेडे खु्र्सानी,Kg,110,120,115.0
Carrot(Local),गाजर(लोकल),Kg,120,130,125.0
Carrot(Terai),गाजर(तराई),Kg,110,120,115.0
Cauli Local,काउली स्थानिय,Kg,60,80,70.0
Celery,सेलरी,Kg,400,450,425.0
Chilli Dry,खु्र्सानी सुकेको,Kg,300,320,310.0
Chilli Green,खु्र्सानी हरियो,Kg,70,80,75.0
Chilli Green(Akbare),खुर्सानी हरियो(अकबरे),Kg,150,200,175.0
Chilli Green(Bullet),खुर्सानी हरियो(बुलेट),Kg,110,120,115.0
Chilli Green(Machhe),खुर्सानी हरियो(माछे),Kg,50,60,55.0
Christophine,स्कूस,Kg,10,15,12.5
Clive Dry,छ्यापी सुकेको,Kg,280,300,290.0
Clive Green,छ्यापी हरियो,Kg,150,200,175.0
Coriander Green,हरियो धनिया,Kg,200,300,250.0
Cow pea(Long),बोडी(तने),Kg,60,80,70.0
Cowpea(Short),मकै बोडी,Kg,90,100,95.0
Cress Leaf,चमसूरको साग,Kg,300,350,325.0
Cucumber(Hybrid),काक्रो(हाइब्रीड),Kg,20,25,22.5
Cucumber(Local),काक्रो(लोकल),Kg,40,50,45.0
Drumstick,सजिवन,Kg,180,200,190.0
Fish Fresh(Bachuwa),ताजा माछा(बचुवा),Kg,225,235,230.0
Fish Fresh(Chhadi),ताजा माछा(छडी),Kg,220,230,225.0
Fish Fresh(Mungari),ताजा माछा(मुंगरी),Kg,250,260,255.0
Fish Fresh(Rahu),ताजा माछा(रहु),Kg,270,280,275.0
French Bean(Hybrid),घिउ सिमी(हाइब्रीड),Kg,70,80,75.0
French Bean(Local),घिउ सिमी(लोकल),Kg,60,80,70.0
Garlic Dry Chinese,लसुन सुकेको चाइनिज,Kg,190,200,195.0
Garlic Dry Nepali,लसुन सुकेको नेपाली,Kg,160,170,165.0
Garlic Green,लसुन हरियो,Kg,350,400,375.0
Ginger,अदुवा,Kg,80,90,85.0
Guava,अम्बा,Kg,100,120,110.0
Gundruk,गुन्दुक,Kg,150,200,175.0
Kiwi,किवि,Kg,500,600,550.0
Lemon,निबुवा,Kg,50,60,55.0
Lime,कागती,Kg,150,160,155.0
Mombin,लप्सी,Kg,50,60,55.0
Mushroom(Button),च्याउ(डल्ले),Kg,400,450,425.0
Mushroom(Kanya),च्याउ(कन्य),Kg,220,250,235.0
Mustard Leaf,तोरीको साग,Kg,140,150,145.0
Neuro,न्यूरो,Kg,70,80,75.0
Okara,भिण्डी,Kg,50,60,55.0
Onion Dry (Indian),प्याज सुकेको (भारतीय),Kg,44,46,45.0
Onion Green,प्याज हरियो,Kg,200,250,225.0
Orange(Indian),सुन्तला(भारतीय),Kg,120,130,125.0
Papaya(Indian),मेवा(भारतीय),Kg,70,80,75.0
Pear(Chinese),नासपाती(चाइनिज),Kg,190,200,195.0
Pear(Local),नासपाती(लोकल),Kg,60,70,65.0
Pineapple,भुई कटहर,1 Pc,150,160,155.0
Pointed Gourd(Local),परवर(लोकल),Kg,80,90,85.0
Pointed Gourd(Terai),परवर(तराई),Kg,70,80,75.0
Pomegranate,अनार,Kg,300,350,325.0
Potato Red,आलु रातो,Kg,56,58,57.0
Potato Red(Indian),आलु रातो(भारतीय),Kg,26,28,27.0
Potato Red(Mude),आलु रातो(मुडे),Kg,46,48,47.0
Potato White,आलु सेतो,Kg,41,42,41.5
Pumpkin,फर्सी पाकेको,Kg,35,40,37.5
Raddish Red,मूला रातो,Kg,40,50,45.0
Raddish White(Hybrid),सेतो मूला(हाइब्रीड),Kg,25,30,27.5
Raddish White(Local),मूला सेतो(लोकल),Kg,25,30,27.5
Red Cabbbage,रातो बन्दा,Kg,350,400,375.0
Smooth Gourd,घिरौला,Kg,40,50,45.0
Snake Gourd,लौका,Kg,30,40,35.0
Soyabean Green,भटमासकोशा,Kg,80,100,90.0
Spinach Leaf,पालूगो साग,Kg,250,300,275.0
Sponge Gourd,झिगूनी,Kg,50,60,55.0
Squash(Round),हरियो फर्सी(डल्लो),Kg,30,40,35.0
Sugarbeet,चुकुन्दर,Kg,90,100,95.0
Sweet Orange,मौसम,Kg,120,130,125.0
Sweet Potato,सखरखण्ड,Kg,100,120,110.0
Sword Bean,टाटे सिमी,Kg,160,180,170.0
Tamarind,इमली,Kg,140,150,145.0
Tofu,तोफु,Kg,90,100,95.0
Tomato Big(Indian),ठूलो गोलभेडा(भारतीय),Kg,50,60,55.0
Tomato Small(Local),गोलभेडा सानो(लोकल),Kg,10,15,12.5
Tomato Small(Tunnel),गोलभेडा सानो(टनेल),Kg,15,20,17.5
Turnip,सलगम,Kg,80,90,85.0
Turnip A,गान्टे मूला,Kg,70,80,75.0
Water Melon(Green),तरबुजा(हरियो),Kg,40,50,45.0
